slice_file_name,['class']
100032-3-0-0,['dog_bark']
100263-2-0-117,['children_playing']
100263-2-0-121,['children_playing']
100263-2-0-126,['children_playing']
100263-2-0-137,['children_playing']
100263-2-0-143,['children_playing']
100263-2-0-161,['children_playing']
100263-2-0-3,['children_playing']
100263-2-0-36,['children_playing']
100648-1-0-0,['car_horn']
100648-1-1-0,['car_horn']
100648-1-2-0,['car_horn']
100648-1-3-0,['car_horn']
100648-1-4-0,['car_horn']
100652-3-0-0,['dog_bark']
100652-3-0-1,['dog_bark']
100652-3-0-2,['dog_bark']
100652-3-0-3,['dog_bark']
100795-3-0-0,['dog_bark']
100795-3-1-0,['dog_bark']
100795-3-1-1,['dog_bark']
100795-3-1-2,['dog_bark']
100852-0-0-0,['air_conditioner']
100852-0-0-1,['air_conditioner']
100852-0-0-10,['air_conditioner']
100852-0-0-11,['air_conditioner']
100852-0-0-12,['air_conditioner']
100852-0-0-13,['air_conditioner']
100852-0-0-14,['air_conditioner']
100852-0-0-15,['air_conditioner']
100852-0-0-16,['air_conditioner']
100852-0-0-17,['air_conditioner']
100852-0-0-18,['air_conditioner']
100852-0-0-19,['air_conditioner']
100852-0-0-2,['air_conditioner']
100852-0-0-20,['air_conditioner']
100852-0-0-21,['air_conditioner']
100852-0-0-22,['air_conditioner']
100852-0-0-23,['air_conditioner']
100852-0-0-24,['air_conditioner']
100852-0-0-25,['air_conditioner']
100852-0-0-26,['air_conditioner']
100852-0-0-27,['air_conditioner']
100852-0-0-28,['air_conditioner']
100852-0-0-29,['air_conditioner']
100852-0-0-3,['air_conditioner']
100852-0-0-30,['air_conditioner']
100852-0-0-4,['air_conditioner']
100852-0-0-5,['air_conditioner']
100852-0-0-6,['air_conditioner']
100852-0-0-7,['air_conditioner']
100852-0-0-8,['air_conditioner']
100852-0-0-9,['air_conditioner']
101281-3-0-0,['dog_bark']
101281-3-0-14,['dog_bark']
101281-3-0-5,['dog_bark']
101382-2-0-10,['children_playing']
101382-2-0-12,['children_playing']
101382-2-0-20,['children_playing']
101382-2-0-21,['children_playing']
101382-2-0-29,['children_playing']
101382-2-0-33,['children_playing']
101382-2-0-42,['children_playing']
101382-2-0-45,['children_playing']
101415-3-0-2,['dog_bark']
101415-3-0-3,['dog_bark']
101415-3-0-8,['dog_bark']
101729-0-0-1,['air_conditioner']
101729-0-0-11,['air_conditioner']
101729-0-0-12,['air_conditioner']
101729-0-0-13,['air_conditioner']
101729-0-0-14,['air_conditioner']
101729-0-0-16,['air_conditioner']
101729-0-0-17,['air_conditioner']
101729-0-0-18,['air_conditioner']
101729-0-0-19,['air_conditioner']
101729-0-0-21,['air_conditioner']
101729-0-0-22,['air_conditioner']
101729-0-0-23,['air_conditioner']
101729-0-0-24,['air_conditioner']
101729-0-0-26,['air_conditioner']
101729-0-0-28,['air_conditioner']
101729-0-0-29,['air_conditioner']
101729-0-0-3,['air_conditioner']
101729-0-0-32,['air_conditioner']
101729-0-0-33,['air_conditioner']
101729-0-0-36,['air_conditioner']
101729-0-0-37,['air_conditioner']
101729-0-0-38,['air_conditioner']
101729-0-0-39,['air_conditioner']
101729-0-0-4,['air_conditioner']
101729-0-0-40,['air_conditioner']
